PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.0401943,0.00348665,-0.0442425,0.0535051,0.00887768,-0.0163894,-0.016724,0.00165125,0.0101719,0.0331125
0.041814,-0.011159,-0.033767900000000003,0.0752932,-0.0162146,-0.0212941,-0.045262,0.0345472,-0.00340269,0.043641
0.041478,-0.0106417,-0.0333674,0.0756446,-0.015593,-0.0223489,-0.0452231,0.0346969,-0.0026731,0.0432406
0.0359526,0.0209381,-0.0278571,0.0311527,0.0285261,-0.0274799,-0.00467126,-0.0194091,-0.00703692,0.00202811
0.0190009,-0.0766862,0.0105175,0.0213324,-0.0404388,-0.0149679,0.0192242,0.0252281,0.0032419,3.54933e-4
0.00835843,0.0661815,0.0634403,-0.0635827,0.0122758,-0.0337763,-0.00805485,0.0557045,0.0816215,-0.0689096
-1.80618e-4,0.0652278,0.0647064,-0.0587502,0.0145754,-0.0225165,-0.0177983,0.065184,0.0834783,-0.0683278
0.00234089,0.0690771,0.0605503,-0.0615102,-0.00208105,-0.0364252,0.00220039,0.0445385,0.0606966,-0.0626347
-0.140381,0.00237259,-0.0470265,0.0107649,-0.0162461,-0.0180852,0.0020514,-0.0178279,-0.00405017,0.00114342
-0.138504,0.0067049,-0.0452503,0.0131021,-0.0182401,-0.0102783,0.00984802,-0.00513177,0.00291828,-0.0058296
-0.159478,0.0142038,-0.0549473,0.031972,-0.0139266,-0.0240022,0.0170456,-0.0187911,0.0112417,-0.0132216
-0.155185,0.0083431,-0.0514374,0.0290682,-0.009443,-0.0232358,0.00993769,-0.0203964,0.0139752,-0.0158807
-0.167107,0.006,-0.0520941,0.0249485,-0.00855948,-0.0236688,0.00911496,-0.0235148,0.0146291,-0.0162858
0.0168243,-0.00430618,0.0457807,0.0198964,-0.0547148,0.0432518,0.0411386,-0.0123552,0.0119016,0.030234
0.0315859,-0.0146146,-0.0208107,0.0607292,-0.0275066,-0.010353,0.00570436,0.0093827,0.0108548,0.00158644
0.0204109,-0.00748433,-0.0152265,0.0576023,-0.0603465,-0.00185993,0.0148115,-0.012459,-0.0262376,-0.018954
0.0484777,0.00220867,-0.0582452,0.147703,0.00637263,-0.0751012,-0.13122,0.151263,0.0102888,-0.0192049
0.0511437,-0.00701234,-0.0582942,0.122414,-0.00849615,-0.0679127,-0.1188,0.128289,0.0263238,-0.00154095
0.0344589,-0.00206677,-0.0364048,0.0806836,-0.0214502,-0.0388757,-0.0486001,0.062103,0.0087024,-0.00945615
0.0480598,-0.00883555,-0.064108299999999993,0.147005,-0.0294231,-0.0767529,-0.152013,0.181966,0.0223039,0.00629807
0.0334762,-0.0235365,-0.00700784,0.0632208,-0.0413063,0.0206267,0.0274474,-0.00999319,0.0012792,-0.0210533
0.0310214,0.0387077,-0.00161168,0.0116384,0.0265813,-0.0465945,0.0131335,-0.0541107,-0.0267976,-0.00231713
0.0147902,-0.0936482,0.0255857,0.0221926,-0.0350208,-0.0328988,0.00760279,0.0177125,-0.00796941,-0.021485
0.032531,-0.00732852,-0.01779,0.0606671,-0.0271611,-0.0234304,0.00987799,8.46879e-4,-0.0131287,-0.0282509
0.00824369,0.0226791,0.0347656,-7.18627e-4,-0.0430326,0.0365475,0.0120796,0.0224522,0.0136967,-3.65892e-4
-9.81094e-4,-4.65369e-4,0.058286,-0.00944684,-0.05357,0.0410716,0.0110619,0.0116208,0.0175749,0.0342713
