Individual,Sp,Sex,PC1
CA.00458,CP,m,-121.3383636
CA.00459,CP,m,-115.5982361
CA.00531,MP,m,42.54663849
CA.00532,MP,m,33.26234055
CA.00533,MP,m,43.57052231
CA.00535,CP,m,-124.46285245
CA.00537,MP,m,41.54714584
CA.00538,CP,m,-122.343338
CA.00544,MP,m,34.05973053
CA.00545,MP,m,32.81657791
CA.00546,MP,m,38.465755465
CA.00547,MP,m,36.13878632
CA.00548,MP,m,38.20597458
CA.00551,MP,m,39.29188156
CA.00552,CP,m,-122.9214096
CA.00553,CP,m,-116.8827896
CA.00554,CP,m,-119.7392807
CA.00559,CP,m,-118.3861084
CA.00560,CP,m,-126.96194075
CA.00561,MP,m,31.819976805
CA.00562,MP,m,32.51811981
CA.00563,CP,m,-117.08030315
CA.00564,CP,m,-120.5607834
CA.00565,CP,m,-125.1049576
CA.00566,CP,m,-122.5555992
CA.00567,CP,m,-117.2563553
CA.00568,CP,m,-125.34803005
CA.00569,CP,m,-115.71224595
CA.00572,CP,m,-117.34881595
CA.00573,MP,m,36.85274124
CA.00574,MP,m,33.011426925
CA.00576,CP,m,-125.66194155
CA.00577,CP,m,-119.71236805
CA.00578,CP,m,-110.81431965
CA.00579,CP,m,-123.86952595
CA.00581,CP,m,-119.65465545
CA.00582,CP,m,-118.90711975
CA.00583,CP,m,-122.229496
CA.00584,CP,m,-120.00909425
CA.00585,CP,m,-118.33856965
CA.00586,CP,m,-127.939476
CA.00587,CP,m,-125.23747255
CA.00588,CP,m,-131.66568755
CA.00589,CP,m,-126.5325165
CA.00598,MP,m,43.72632217
CA.00602,MP,m,40.85269928
CA.00610,MP,m,33.30946732
CA.00613,MP,m,36.98579788
CA.00623,MP,f,37.68019867
CA.00625,MP,m,44.73282623
CA.00631,CP,f,-113.5818787
CA.00642,CP,f,-121.8886642
CA.00672,CP,f,-107.6709595
CA.00683,CP,f,-120.4871941
CA.00694,CP,f,-119.2126312
CA.00704,CP,m,-127.1044998
CA.00705,CP,m,-127.1581993
CA.00706,CP,f,-105.4116364
CA.00709,CP,m,-126.722496
CA.00776,CP,f,-116.4714508
CA.00809,CP,f,-126.5270004
CA.00812,CP,f,-122.4482231
CA.00814,CP,f,-126.438282
CA.00819,CP,f,-114.57239915
CA.00822,CP,m,-122.39899445
CA.00828,CP,m,-122.7130394
CA.00831,CP,m,-117.85442355
CA.00839,CP,m,-125.4701233
CA.00840,CP,f,-112.6985245
CA.00902,MP,f,32.459682465
CA.00903,MP,f,41.975669860000004
CA.01137,MP,f,37.583183285
CA.01153,CP,f,-114.2841492
CA.01391,MP,f,38.34179878
CA.01485,MP,f,43.487628935
CA.01499,MP,m,47.33734131
CA.01652,MP,f,44.513441085
CA.01771,MP,f,43.57625389
CA.01772,MP,m,42.78826523
CA.01792,MP,f,35.72828865
CA.01852,MP,f,28.86497402
CA.01884,MP,f,42.33309937
CA.01931,MP,f,35.813503265
CA.01960,MP,f,40.48376083
CA.01966,CPxMP,f,-66.59449768
CA.01982,CPxMP,m,-81.38938522
CA.01984,CP,f,-111.9370499
CA.02011,MP,f,38.234165195
CA.02041,CPxMP,f,-44.98733139
CA.02042,CPxMP,f,-52.219774245
CA.02046,CPxMP,f,-63.75404739
CA.02055,MP,m,36.46881866
CA.02060,CPxMP,f,-35.752075195
CA.02070,MP,f,39.72369003
CA.02085,CPxMP,f,-52.32937431
CA.02097,MP,f,36.42650795
CA.02099,CPxMP,f,-52.21615982
CA.02116,CPxMP,m,-78.99384689
CA.02117,CPxMP,f,-53.75505066
CA.02118,CPxMP,f,-61.49092865
CA.02232,CPxMP,m,-81.93779755
CA.02253,CPxMP,m,-79.33014679
CA.02278,MP,f,41.71271133
CA.02279,MP,f,42.996709825
