CHROM,POS,T_STAT,P,BETA,SE
1,33647,-0.40449,0.68609,-0.460661,1.13887
1,86425,-1.42859,0.153983,-2.14324,1.50026
1,100501,-0.323395,0.746582,-0.371199,1.14782
1,140030,1.17448,0.240973,1.35794,1.1562
1,208415,0.614284,0.539413,0.987402,1.6074
1,217878,0.344194,0.730899,0.41201,1.19703
1,238229,0.175983,0.860405,0.236168,1.34199
1,256039,0.894501,0.371647,0.921384,1.03005
1,266733,0.670419,0.503017,0.730491,1.0896
1,327966,1.35575,0.176021,1.47268,1.08625
1,396021,-1.31548,0.189178,-1.436,1.09161
1,421839,-1.47156,0.142006,-1.55995,1.06007
1,467517,-0.751241,0.452995,-0.804888,1.07141
1,488205,-2.26778,0.0239298,-2.42396,1.06887
1,504524,-1.60793,0.108719,-1.74862,1.0875
1,552366,0.203449,0.838898,0.220498,1.0838
1,574603,-1.97656,0.048848,-2.10757,1.06628
1,581476,-2.5350799999999998,0.0116612,-2.57438,1.0155
1,652305,-0.913614,0.361526,-0.980485,1.07319
1,670347,-0.454914,0.649443,-0.476881,1.04829
1,696501,0.177802,0.858978,0.187994,1.05732
1,738212,1.33193,0.18372,1.36259,1.02302
1,739325,-1.09234,0.275408,-1.20933,1.1071
1,740490,0.370945,0.710895,0.462398,1.24654
1,855673,-0.423078,0.672489,-0.511285,1.20849
1,927438,1.17536,0.240623,1.23421,1.05007
1,1000520,-0.711956,0.476949,-1.08789,1.52803
1,1044761,-1.56054,0.119505,-1.74293,1.11688
1,1067618,-0.774764,0.438983,-0.869141,1.12181
1,1079644,0.924843,0.355662,1.12081,1.21189
1,1089591,-0.825619,0.409563,-0.91305,1.1059
1,1130972,-2.04311,0.0417635,-2.18632,1.0701
1,1159550,-0.957396,0.339004,-0.987484,1.03143
1,1170305,2.18309,0.0296692,2.31427,1.06009
1,1173971,-0.655705,0.512429,-0.964053,1.47025
1,1193354,-1.80538,0.0718434,-2.03889,1.12934
1,1228801,-0.0871854,0.930572,-0.0910955,1.04485
1,1273739,-1.83608,0.0671642,-1.8871,1.02779
1,1343934,0.442246,0.658575,0.633625,1.43274
1,1416018,0.75822,0.448811,0.815678,1.07578
1,1421761,1.20449,0.229185,1.33491,1.10828
